
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.0,61.9425,168,0.3687,0.0961,0.0948,1.5300,0.5640,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,52.3261,512,0.1022,0.0902,0.0838,0.1537,0.0225,computeUnconstrainedSpatialInertiaLaunchPartial1T
0.0,51.9656,656,0.0792,0.0787,0.0764,0.0847,0.0016,"void update_kernel<(bool)0, (bool)0, (bool)0>(cubricUpdateParams_st)"
0.0,51.0223,512,0.0997,0.0896,0.0840,0.1383,0.0193,computeUnconstrainedAccelerationsLaunch1T
0.0,46.0561,5256,0.0088,0.0014,0.0008,0.8300,0.0248,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,45.7991,128,0.3578,0.3347,0.0074,1.5023,0.2919,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,40.4877,64,0.6326,0.5487,0.2788,1.6570,0.2868,nvjet_tst_192x192_64x3_1x2_h_bz_coopB_NTN
0.0,39.4055,512,0.0770,0.0676,0.0645,0.1073,0.0166,setupInternalConstraintLaunch1T
0.0,36.6476,512,0.0716,0.0590,0.0572,0.1171,0.0222,computeUnconstrainedVelocities1TLaunch
0.0,32.6518,136,0.2401,0.2401,0.2393,0.2413,0.0004,nvjet_tst_384x24_64x4_2x1_v_bz_TNT
